//ID,Type,Name,Level,Stack,Durability
01000000,ITEM_ETC_GOLD_01,ITEM_ETC_GOLD_01,0,0,0
02000000,ITEM_ETC_GOLD_02,ITEM_ETC_GOLD_02,0,0,0
03000000,ITEM_ETC_GOLD_03,ITEM_ETC_GOLD_03,0,0,0
04000000,ITEM_ETC_HP_POTION_01,ITEM_ETC_HP_POTION_01,0,200,0
05000000,ITEM_ETC_HP_POTION_02,ITEM_ETC_HP_POTION_02,0,200,0
06000000,ITEM_ETC_HP_POTION_03,ITEM_ETC_HP_POTION_03,0,200,0
07000000,ITEM_ETC_HP_POTION_04,ITEM_ETC_HP_POTION_04,0,200,0
08000000,ITEM_ETC_HP_POTION_05,ITEM_ETC_HP_POTION_05,0,200,0
09000000,ITEM_ETC_HP_SPOTION_01,ITEM_ETC_HP_SPOTION_01,0,10000,0
0B000000,ITEM_ETC_MP_POTION_01,ITEM_ETC_MP_POTION_01,0,200,0
0C000000,ITEM_ETC_MP_POTION_02,ITEM_ETC_MP_POTION_02,0,200,0
0D000000,ITEM_ETC_MP_POTION_03,ITEM_ETC_MP_POTION_03,0,200,0
0E000000,ITEM_ETC_MP_POTION_04,ITEM_ETC_MP_POTION_04,0,200,0
0F000000,ITEM_ETC_MP_POTION_05,ITEM_ETC_MP_POTION_05,0,200,0
10000000,ITEM_ETC_MP_SPOTION_01,ITEM_ETC_MP_SPOTION_01,0,10000,0
12000000,ITEM_ETC_ALL_POTION_01,ITEM_ETC_ALL_POTION_01,0,100,0
13000000,ITEM_ETC_ALL_POTION_02,ITEM_ETC_ALL_POTION_02,0,100,0
14000000,ITEM_ETC_ALL_POTION_03,ITEM_ETC_ALL_POTION_03,0,100,0
15000000,ITEM_ETC_ALL_POTION_04,ITEM_ETC_ALL_POTION_04,0,100,0
16000000,ITEM_ETC_ALL_POTION_05,ITEM_ETC_ALL_POTION_05,0,100,0
17000000,ITEM_ETC_ALL_SPOTION_01,ITEM_ETC_ALL_SPOTION_01,0,10000,0
18000000,ITEM_ETC_ALL_SPOTION_02,ITEM_ETC_ALL_SPOTION_02,0,10000,0
37000000,ITEM_ETC_CURE_ALL_01,ITEM_ETC_CURE_ALL_01,0,1000,0
38000000,ITEM_ETC_CURE_ALL_02,ITEM_ETC_CURE_ALL_02,0,1000,0
39000000,ITEM_ETC_CURE_ALL_03,ITEM_ETC_CURE_ALL_03,0,5000,0
3A000000,ITEM_ETC_CURE_ALL_04,ITEM_ETC_CURE_ALL_04,0,1000,0
3B000000,ITEM_ETC_CURE_ALL_05,ITEM_ETC_CURE_ALL_05,0,10000,0
3D000000,ITEM_ETC_SCROLL_RETURN_01,ITEM_ETC_SCROLL_RETURN_01,0,50,0
3E000000,ITEM_ETC_AMMO_ARROW_01,ITEM_ETC_AMMO_ARROW_01,0,5000,0
3F000000,ITEM_ETC_FIREWORK_BOOMB_R,ITEM_ETC_FIREWORK_BOOMB_R,0,10,0
40000000,ITEM_ETC_FIREWORK_BOOMB_G,ITEM_ETC_FIREWORK_BOOMB_G,0,10,0
41000000,ITEM_ETC_FIREWORK_BOOMB_B,ITEM_ETC_FIREWORK_BOOMB_B,0,10,0
42000000,ITEM_ETC_FIREWORK_BOOMB_V,ITEM_ETC_FIREWORK_BOOMB_V,0,10,0
43000000,ITEM_ETC_FIREWORK_SPIN,ITEM_ETC_FIREWORK_SPIN,0,1,0
44000000,ITEM_ETC_FIREWORK_SPRAY,ITEM_ETC_FIREWORK_SPRAY,0,1,0
45000000,ITEM_ETC_FIREWORK_CHAINBOMB,ITEM_ETC_FIREWORK_CHAINBOMB,0,10,0
46000000,ITEM_ETC_CAMPFIRE,ITEM_ETC_CAMPFIRE,0,100,0
47000000,ITEM_CH_SWORD_01_A,Copper Sword,1,1,62
48000000,ITEM_CH_SWORD_01_B,Short Copper Sword,3,1,63
49000000,ITEM_CH_SWORD_01_C,Long Copper Sword,5,1,65
4A000000,ITEM_CH_SWORD_02_A,Infantry Bronze Sword,8,1,67
4B000000,ITEM_CH_SWORD_02_B,Lancer Bronze Sword,10,1,68
4C000000,ITEM_CH_SWORD_02_C,Cavalry Bronze Sword,13,1,70
4D000000,ITEM_CH_SWORD_03_A,Bloody Sharp Sword,16,1,71
4E000000,ITEM_CH_SWORD_03_B,Deadly Sharp Sword,18,1,73
4F000000,ITEM_CH_SWORD_03_C,Spiritual Sharp Sword,21,1,75
50000000,ITEM_CH_SWORD_04_A,Snake Frost Sword,24,1,76
51000000,ITEM_CH_SWORD_04_B,Inexorable Frost Sword,26,1,78
52000000,ITEM_CH_SWORD_04_C,Cruel Frost Sword,29,1,79
53000000,ITEM_CH_SWORD_05_A,Iron Lord's Sword,32,1,81
54000000,ITEM_CH_SWORD_05_B,Silver Lord's Sword,35,1,83
55000000,ITEM_CH_SWORD_05_C,Gold Lord's Sword,38,1,85
56000000,ITEM_CH_SWORD_06_A,Jade Gem Sword,42,1,87
57000000,ITEM_CH_SWORD_06_B,Pearl Gem Sword,45,1,89
58000000,ITEM_CH_SWORD_06_C,Onix Gem Sword,48,1,91
59000000,ITEM_CH_SWORD_07_A,Robust Guard Sword,52,1,94
5A000000,ITEM_CH_SWORD_07_B,Impregnable Guard Sword,56,1,96
5B000000,ITEM_CH_SWORD_07_C,Godly Guard Sword,60,1,99
5C000000,ITEM_CH_SWORD_08_A,Flaming Devil Sword,64,1,101
5D000000,ITEM_CH_SWORD_08_B,Burning Devil Sword,68,1,103
5E000000,ITEM_CH_SWORD_08_C,Hellfire Devil Sword,72,1,106
5F000000,ITEM_CH_SWORD_09_A,Genuine Master Sword,76,1,108
60000000,ITEM_CH_SWORD_09_B,Authentic Master Sword,80,1,111
61000000,ITEM_CH_SWORD_09_C,True Master Sword,85,1,114
62000000,ITEM_CH_SWORD_10_A,Oblivion Break Heaven Sword,90,1,117
63000000,ITEM_CH_SWORD_10_B,Ancient Break Heaven Sword,94,1,119
64000000,ITEM_CH_SWORD_10_C,Legendary Break Heaven Sword,98,1,122
65000000,ITEM_CH_SWORD_11_A,Reaper Ghost Sword,101,1,124
66000000,ITEM_CH_SWORD_11_B,Evil spirit Ghost Sword,104,1,126
67000000,ITEM_CH_SWORD_11_C,Satan Ghost Sword,108,1,128
68000000,ITEM_CH_SWORD_12_A,Imperial Divine Sword,110,1,130
69000000,ITEM_CH_SWORD_12_B,Hunwon's Divine Sword,114,1,132
6A000000,ITEM_CH_SWORD_12_C,Chwiu's Divine Sword,118,1,133
6B000000,ITEM_CH_BLADE_01_A,Copper Blade,1,1,69
6C000000,ITEM_CH_BLADE_01_B,Short Copper Blade,3,1,70
6D000000,ITEM_CH_BLADE_01_C,Long Copper Blade,5,1,71
6E000000,ITEM_CH_BLADE_02_A,Infantry Hand Blade,8,1,74
6F000000,ITEM_CH_BLADE_02_B,Lancer Hand Blade,10,1,75
70000000,ITEM_CH_BLADE_02_C,Cavalry Hand Blade,13,1,77
71000000,ITEM_CH_BLADE_03_A,Mhong tribe Cutting Blade,16,1,79
72000000,ITEM_CH_BLADE_03_B,Kang tribe Cutting Blade,18,1,80
73000000,ITEM_CH_BLADE_03_C,Hun tribe Cutting Blade,21,1,82
74000000,ITEM_CH_BLADE_04_A,Iron General Blade,24,1,84
75000000,ITEM_CH_BLADE_04_B,Silver General Blade,26,1,86
