//ShopTab,ITEMType,Slot
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_01,0
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_02,1
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_03,2
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_04,3
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_05,4
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_06,5
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_07,6
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_08,7
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_09,8
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_10,9
MALL_ARCHEMY_ASTRAL,ITEM_ETC_ARCHEMY_MAGICSTONE_ASTRAL_11,10
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_01,0
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_02,1
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_03,2
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_04,3
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_05,4
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_06,5
