//ID,Name,Type,GroupType,Level,CastTime,Cooldown,ObjectReq,UsingType,Force,MP
1,SKILL_PUNCH_01,SKILL_PUNCH_01,SKILL_PUNCH,1,1500,1500,1,2,0,0
2,SKILL_CH_SWORD_BASE_01,SKILL_CH_SWORD_BASE_01,SKILL_CH_SWORD_BASE,1,1200,1200,1,2,257,0
3,Strike Smash,SKILL_CH_SWORD_SMASH_A_01,SKILL_CH_SWORD_SMASH_A,1,1022,3000,1,2,257,19
4,Stab Smash,SKILL_CH_SWORD_SMASH_B_01,SKILL_CH_SWORD_SMASH_B,1,1100,3000,1,2,257,91
5,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_01,SKILL_CH_SWORD_SMASH_C,1,500,3000,1,2,257,290
6,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_01,SKILL_CH_SWORD_CHAIN_A,1,428,8000,1,2,257,32
7,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_2S_01,SKILL_CH_SWORD_CHAIN_A,1,612,0,1,2,257,0
8,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_3S_01,SKILL_CH_SWORD_CHAIN_A,1,993,0,1,2,257,0
9,Blood Chain,SKILL_CH_SWORD_CHAIN_B_1S_01,SKILL_CH_SWORD_CHAIN_B,1,596,8000,1,2,257,153
10,Blood Chain,SKILL_CH_SWORD_CHAIN_B_2S_01,SKILL_CH_SWORD_CHAIN_B,1,602,0,1,2,257,0
11,Blood Chain,SKILL_CH_SWORD_CHAIN_B_3S_01,SKILL_CH_SWORD_CHAIN_B,1,605,0,1,2,257,0
12,Blood Chain,SKILL_CH_SWORD_CHAIN_B_4S_01,SKILL_CH_SWORD_CHAIN_B,1,630,0,1,2,257,0
13,Billow Chain,SKILL_CH_SWORD_CHAIN_C_1S_01,SKILL_CH_SWORD_CHAIN_C,1,585,8000,1,2,257,215
14,Billow Chain,SKILL_CH_SWORD_CHAIN_C_2S_01,SKILL_CH_SWORD_CHAIN_C,1,979,0,1,2,257,0
15,Billow Chain,SKILL_CH_SWORD_CHAIN_C_3S_01,SKILL_CH_SWORD_CHAIN_C,1,262,0,1,2,257,0
16,Billow Chain,SKILL_CH_SWORD_CHAIN_C_4S_01,SKILL_CH_SWORD_CHAIN_C,1,644,0,1,2,257,0
17,Billow Chain,SKILL_CH_SWORD_CHAIN_C_5S_01,SKILL_CH_SWORD_CHAIN_C,1,963,0,1,2,257,0
18,Ascension Chain,SKILL_CH_SWORD_CHAIN_D_1S_01,SKILL_CH_SWORD_CHAIN_D,1,919,8000,1,2,257,474
19,Ascension Chain,SKILL_CH_SWORD_CHAIN_D_2S_01,SKILL_CH_SWORD_CHAIN_D,1,426,0,1,2,257,0
20,Ascension Chain,SKILL_CH_SWORD_CHAIN_D_3S_01,SKILL_CH_SWORD_CHAIN_D,1,854,0,1,2,257,0
21,Ascension Chain,SKILL_CH_SWORD_CHAIN_D_4S_01,SKILL_CH_SWORD_CHAIN_D,1,834,0,1,2,257,0
22,Heaven Chain,SKILL_CH_SWORD_CHAIN_E_1S_01,SKILL_CH_SWORD_CHAIN_E,1,210,8000,1,2,257,574
23,Heaven Chain,SKILL_CH_SWORD_CHAIN_E_2S_01,SKILL_CH_SWORD_CHAIN_E,1,717,0,1,2,257,0
24,Heaven Chain,SKILL_CH_SWORD_CHAIN_E_3S_01,SKILL_CH_SWORD_CHAIN_E,1,456,0,1,2,257,0
25,Heaven Chain,SKILL_CH_SWORD_CHAIN_E_4S_01,SKILL_CH_SWORD_CHAIN_E,1,375,0,1,2,257,0
26,Heaven Chain,SKILL_CH_SWORD_CHAIN_E_5S_01,SKILL_CH_SWORD_CHAIN_E,1,1624,0,1,2,257,0
27,Castle Shield,SKILL_CH_SWORD_SHIELD_A_01,SKILL_CH_SWORD_SHIELD_A,1,0,60000,0,1,257,25
28,Mountain Shield,SKILL_CH_SWORD_SHIELD_B_01,SKILL_CH_SWORD_SHIELD_B,1,0,60000,0,1,257,90
29,Ironwall Shield,SKILL_CH_SWORD_SHIELD_C_01,SKILL_CH_SWORD_SHIELD_C,1,0,60000,0,1,257,218
30,Soul Cut Blade,SKILL_CH_SWORD_GEOMGI_A_01,SKILL_CH_SWORD_GEOMGI_A,1,792,4000,1,2,257,34
31,Evil Cut Blade,SKILL_CH_SWORD_GEOMGI_B_01,SKILL_CH_SWORD_GEOMGI_B,1,905,4000,1,2,257,127
32,Devil Cut Blade,SKILL_CH_SWORD_GEOMGI_C_01,SKILL_CH_SWORD_GEOMGI_C,1,741,4000,1,2,257,458
33,Blood Blade Force,SKILL_CH_SWORD_KNOCKDOWN_A_01,SKILL_CH_SWORD_KNOCKDOWN_A,1,1107,4000,1,2,257,79
34,Soul Blade Force,SKILL_CH_SWORD_KNOCKDOWN_B_01,SKILL_CH_SWORD_KNOCKDOWN_B,1,1290,4000,1,2,257,304
35,Flower Bloom Blade,SKILL_CH_SWORD_DOWNATTACK_A_01,SKILL_CH_SWORD_DOWNATTACK_A,1,802,4000,1,2,257,70
36,Flower Bud Blade,SKILL_CH_SWORD_DOWNATTACK_B_01,SKILL_CH_SWORD_DOWNATTACK_B,1,899,4000,1,2,257,317
37,Snake Sword Dance,SKILL_CH_SWORD_SPECIAL_A_01,SKILL_CH_SWORD_SPECIAL_A,1,1106,8000,1,2,257,171
38,Petal Sword Dance,SKILL_CH_SWORD_SPECIAL_B_01,SKILL_CH_SWORD_SPECIAL_B,1,1106,8000,1,2,257,447
39,Shield Protection,SKILL_CH_SWORD_PASSIVE_A_01,SKILL_CH_SWORD_PASSIVE_A,1,0,0,0,0,257,0
40,SKILL_CH_SPEAR_BASE_01,SKILL_CH_SPEAR_BASE_01,SKILL_CH_SPEAR_BASE,1,1166,1166,1,2,258,0
41,Wolf Bite Spear,SKILL_CH_SPEAR_PIERCE_A_01,SKILL_CH_SPEAR_PIERCE_A,1,1032,4000,1,2,258,29
42,Waning Moon Spear,SKILL_CH_SPEAR_PIERCE_B_01,SKILL_CH_SPEAR_PIERCE_B,1,1237,4000,1,2,258,142
43,Yuhon Spear,SKILL_CH_SPEAR_PIERCE_C_01,SKILL_CH_SPEAR_PIERCE_C,1,1304,4000,1,2,258,435
44,Bloody Fan Storm,SKILL_CH_SPEAR_SPIN_A_01,SKILL_CH_SPEAR_SPIN_A,1,0,60000,0,1,258,20
45,Bloody Wolf Storm,SKILL_CH_SPEAR_SPIN_B_01,SKILL_CH_SPEAR_SPIN_B,1,0,60000,0,1,258,78
46,Bloody Snake Storm ,SKILL_CH_SPEAR_SPIN_C_01,SKILL_CH_SPEAR_SPIN_C,1,0,60000,0,1,258,195
47,Dancing Demon Spear,SKILL_CH_SPEAR_FRONTAREA_A_01,SKILL_CH_SPEAR_FRONTAREA_A,1,1138,3000,1,2,258,61
48,Jade Breaking Spear,SKILL_CH_SPEAR_FRONTAREA_B_01,SKILL_CH_SPEAR_FRONTAREA_B,1,844,3000,1,2,258,299
49,Spirit Crash Spear,SKILL_CH_SPEAR_FRONTAREA_C_01,SKILL_CH_SPEAR_FRONTAREA_C,1,977,3000,1,2,258,525
50,Soul Spear - Move,SKILL_CH_SPEAR_STUN_A_01,SKILL_CH_SPEAR_STUN_A,1,1372,4000,1,2,258,92
51,Soul Spear - Truth,SKILL_CH_SPEAR_STUN_B_01,SKILL_CH_SPEAR_STUN_B,1,1551,4000,1,2,258,328
52,Soul Spear - Soul,SKILL_CH_SPEAR_STUN_C_01,SKILL_CH_SPEAR_STUN_C,1,1039,4000,1,2,258,1030
53,Ghost Spear - Petal,SKILL_CH_SPEAR_ROUNDAREA_A_01,SKILL_CH_SPEAR_ROUNDAREA_A,1,2200,5000,1,2,258,140
54,Ghost Spear - Prince,SKILL_CH_SPEAR_ROUNDAREA_B_01,SKILL_CH_SPEAR_ROUNDAREA_B,1,2500,5000,1,2,258,450
55,Chain Spear - Tiger,SKILL_CH_SPEAR_CHAIN_A_1S_01,SKILL_CH_SPEAR_CHAIN_A,1,891,8000,1,2,258,167
56,Chain Spear - Tiger,SKILL_CH_SPEAR_CHAIN_A_2S_01,SKILL_CH_SPEAR_CHAIN_A,1,771,0,1,2,258,0
57,Chain Spear - Tiger,SKILL_CH_SPEAR_CHAIN_A_3S_01,SKILL_CH_SPEAR_CHAIN_A,1,1071,0,1,2,258,0
58,Chain Spear - Nachal,SKILL_CH_SPEAR_CHAIN_B_1S_01,SKILL_CH_SPEAR_CHAIN_B,1,564,8000,1,2,258,386
